WarNum,ccode,WarName,WarType,StateName,Side,StartMonth1,StartDay1,StartYear1,EndMonth1,EndDay1,EndYear1,StartMonth2,StartDay2,StartYear2,EndMonth2,EndDay2,EndYear2,TransFrom,WhereFought,Initiator,Outcome,TransTo,BatDeath,Version,total_battle_deaths,iso3c,lng_country,lat_country,lat,lng
70,92,Second Central American,1,El Salvador,1,3,28,1885,4,15,1885,-8,-8,-8,-8,-8,-8,-8,1,2,1,-8,200,4,1000,SLV,-88.87164456,13.73944008,14.1462,-89.709
73,710,First Sino-Japanese,1,China,2,7,25,1894,3,30,1895,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,10000,4,15000,CHN,103.81907385,36.56176801,37.046967,126.10608
73,740,First Sino-Japanese,1,Japan,1,7,25,1894,3,30,1895,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,5000,4,15000,JPN,138.03089212,37.59230065,37.046967,126.10608
76,640,Greco-Turkish,1,Turkey,1,2,15,1897,5,19,1897,-8,-8,-8,-8,-8,-8,631,2,2,1,-8,1400,4,2000,TUR,35.16895529,39.06160342,35.3387,25.1442
76,350,Greco-Turkish,1,Greece,2,2,15,1897,5,19,1897,-8,-8,-8,-8,-8,-8,631,2,1,2,-8,600,4,2000,GRC,22.95556207,39.07466973,35.3387,25.1442
79,2,Spanish-American,1,United States of America,1,4,22,1898,8,12,1898,-8,-8,-8,-8,-8,-8,"404, 410",13,1,1,-8,2910,4,3685,USA,-112.46167057,45.67955203,23.1136,-82.3666
79,230,Spanish-American,1,Spain,2,4,22,1898,8,12,1898,-8,-8,-8,-8,-8,-8,"404, 410",13,2,2,-8,775,4,3685,ESP,-3.64754874,40.24448626,23.1136,-82.3666
82,220,Boxer Rebellion,1,France,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,24,4,3003,FRA,2.53618475,46.18700581,39.848295,116.352758
82,200,Boxer Rebellion,1,United Kingdom,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,34,4,3003,GBR,-2.86563362,54.12387156,39.848295,116.352758
82,740,Boxer Rebellion,1,Japan,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,622,4,3003,JPN,138.03089212,37.59230065,39.848295,116.352758
82,710,Boxer Rebellion,1,China,2,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,2000,4,3003,CHN,103.81907385,36.56176801,39.848295,116.352758
82,365,Boxer Rebellion,1,Russia,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,302,4,3003,RUS,96.68657347,61.98052168,39.848295,116.352758
82,2,Boxer Rebellion,1,United States of America,1,6,17,1900,8,14,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,21,4,3003,USA,-112.46167057,45.67955203,39.848295,116.352758
83,365,Sino-Russian,1,Russia,1,7,17,1900,10,10,1900,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,242,4,4000,RUS,96.68657347,61.98052168,45.8038,126.535
83,710,Sino-Russian,1,China,2,7,17,1900,10,10,1900,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,3758,4,4000,CHN,103.81907385,36.56176801,45.8038,126.535
85,365,Russo-Japanese,1,Russia,2,2,8,1904,9,15,1905,-8,-8,-8,-8,-8,-8,-8,7,2,2,-8,71453,4,151831,RUS,96.68657347,61.98052168,38.8517,121.262
85,740,Russo-Japanese,1,Japan,1,2,8,1904,9,15,1905,-8,-8,-8,-8,-8,-8,-8,7,1,1,-8,80378,4,151831,JPN,138.03089212,37.59230065,38.8517,121.262
88,91,Third Central American,1,Honduras,2,5,27,1906,7,20,1906,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4,1000,HND,-86.61516846,14.82688225,14.1462,-89.709
88,92,Third Central American,1,El Salvador,2,5,27,1906,7,20,1906,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4,1000,SLV,-88.87164456,13.73944008,14.1462,-89.709
88,90,Third Central American,1,Guatemala,1,5,27,1906,7,20,1906,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,400,4,1000,GTM,-90.36482288,15.69404158,14.1462,-89.709
91,93,Fourth Central American,1,Nicaragua,1,2,19,1907,4,23,1907,-8,-8,-8,-8,-8,-8,-8,1,1,1,-8,400,4,1000,NIC,-85.03052894,12.84709633,14.082,-85.4934
91,91,Fourth Central American,1,Honduras,2,2,19,1907,4,23,1907,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4,1000,HND,-86.61516846,14.82688225,14.082,-85.4934
91,92,Fourth Central American,1,El Salvador,2,2,19,1907,4,23,1907,-8,-8,-8,-8,-8,-8,-8,1,2,2,-8,300,4,1000,SLV,-88.87164456,13.73944008,14.082,-85.4934
94,230,Second Spanish-Moroccan,1,Spain,1,7,7,1909,3,23,1910,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,2000,4,10000,ESP,-3.64754874,40.24448626,32.9735,-5.2002
94,600,Second Spanish-Moroccan,1,Morocco,2,7,7,1909,3,23,1910,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,8000,4,10000,MAR,-8.45616045,29.83762793,32.9735,-5.2002
97,640,Italian-Turkish,1,Turkey,2,9,29,1911,10,18,1912,-8,-8,-8,-8,-8,-8,-8,6,2,2,-8,14000,4,20000,TUR,35.16895529,39.06160342,32.8872,13.1913
97,325,Italian-Turkish,1,Italy,1,9,29,1911,10,18,1912,-8,-8,-8,-8,-8,-8,-8,6,1,1,-8,6000,4,20000,ITA,12.07000946,42.79663568,32.8872,13.1913
